filename,Openness,Vitality,Warmth,Structural_Stability
집_9_남_08418.json,50.86340824466128,60.42,20.511964701549324,94.2
집_9_남_10140.json,54.131056802778836,66.31,49.61209296224679,83.47
집_9_남_10410.json,62.23783205562489,83.12,43.21240234375,84.57
집_9_여_02127.json,76.0426762779704,75.43,52.404296875,71.9
집_9_남_08090.json,70.0,68.53,48.49560546875,90.1
집_9_남_09779.json,68.5013323606594,74.58,50.31955432013511,85.04
집_9_남_07789.json,65.75902232734832,73.23,25.969324220009945,85.93
집_9_남_13549.json,64.3620178041543,63.53,24.38950458479005,60.52
집_9_남_08801.json,56.409084814844604,74.02,30.850301731966706,83.18
집_9_남_12256.json,80.89533018738685,77.03,46.2361598991926,88.02
집_9_남_13063.json,51.87951646296668,68.03,63.63527513586956,88.98
집_9_남_12242.json,88.60956595027392,73.78,34.61870851769912,86.83
집_9_남_08012.json,69.92967641224935,70.12,40.00647152254134,84.15
집_9_남_13505.json,82.45868258388612,74.7,46.584228515625,90.75
집_9_남_11940.json,66.19749661065043,78.67,55.97998046875,81.87
집_9_남_12310.json,64.68208092485548,72.72,26.066925235921353,87.37
집_9_남_11320.json,75.80126759944596,86.4,49.0,80.17
집_9_남_09361.json,64.12755168353401,74.54,33.527597221138606,87.11
집_9_남_08242.json,62.90780141843972,73.02,51.890625,78.09
집_9_남_10554.json,83.5605789500591,65.9,58.251953125,81.65
집_9_남_07702.json,81.83583083583083,70.49,22.817655028348387,71.49
집_9_여_00791.json,61.42784084037388,58.09,67.14599609375,77.62
집_9_남_09338.json,80.35064817497104,75.59,42.9912109375,79.3
집_9_남_07500.json,57.271381735226626,75.5,45.02716498871158,88.59
집_9_남_09816.json,84.55139833711263,74.28,65.66015625,66.68
집_9_남_08934.json,63.906395390105246,75.14,40.28955078125,87.69
집_9_남_09400.json,52.882848206243,95.18,50.77978515625,75.52
집_9_여_00935.json,73.35646516671184,89.7,35.244781916042626,93.19
집_9_남_13320.json,71.46647713811893,67.14,45.458984375,87.38
집_9_남_12288.json,73.0492264416315,73.2,41.03128497017613,67.12
집_9_남_11449.json,75.22266268987302,80.73,32.92144377430438,90.47
